id_lead,data_primeiro_contato,origem,roteiro_interesse,modalidade,n_pessoas,mes_viagem_desejado,orcamento_aprox,status,data_fechamento,dias_ate_fechar,valor_venda
032378,2022-07-11,Instagram,Caminho do Norte,Guiado,2,Julho,R$ 19.360,Negociando,,,
032379,2025-12-02,Indicação,Via Francigena,Autoguiado,2,Outubro,R$ 17.723,Sem resposta,,,
032380,2022-06-25,WhatsApp,Caminho Francês,Guiado,4,Junho,R$ 40.134,Negociando,,,
032381,2023-02-03,TikTok,Caminho Primitivo,Guiado,2,Novembro,R$ 21.196,Sem resposta,,,
032382,2026-11-23,YouTube,Caminho do Norte,Autoguiado,1,Março,R$ 7.854,Negociando,,,
032383,2022-09-20,TikTok,Via Francigena,Premium,2,Fevereiro,R$ 19.532,Fechado,2022-10-22,32,R$ 21.260
032384,2020-08-15,Google,Caminho Primitivo,Guiado,3,Março,R$ 33.666,Sem resposta,,,
032385,2022-09-25,Instagram,Caminho do Norte,Autoguiado,3,Setembro,R$ 25.092,Fechado,2022-09-27,2,R$ 25.633
032386,2021-06-13,Indicação,Caminho Primitivo,Premium,1,Novembro,R$ 11.500,Negociando,,,
032387,2025-01-24,Instagram,Caminho Português,Autoguiado,1,Julho,R$ 6.231,Negociando,,,
032388,2026-01-09,YouTube,Caminho do Norte,Premium,4,Abril,R$ 38.203,Sem resposta,,,
032389,2020-12-21,Facebook,Caminho Português,Autoguiado,4,Outubro,R$ 26.883,Fechado,2020-12-26,5,R$ 28.790
032390,2026-09-04,Facebook,Caminho do Norte,Guiado,2,Fevereiro,R$ 16.778,Perdido,,,
032391,2021-07-17,Instagram,Caminho do Norte,Guiado,3,Março,R$ 30.349,Perdido,,,
032392,2025-07-07,TikTok,Caminho do Norte,Guiado,2,Junho,R$ 17.843,Fechado,2025-07-22,15,R$ 19.184
032393,2022-12-13,Indicação,Via Francigena,Guiado,1,Junho,R$ 9.821,Negociando,,,
032394,2021-07-07,Facebook,Caminho Primitivo,Premium,1,Setembro,R$ 11.505,Negociando,,,
032395,2021-07-09,Google,Caminho do Norte,Guiado,3,Março,R$ 33.066,Negociando,,,
032396,2021-12-04,Google,Caminho Francês,Guiado,4,Novembro,R$ 49.377,Perdido,,,
032397,2023-07-20,Google,Caminho do Norte,Guiado,2,Junho,R$ 15.855,Fechado,2023-08-05,16,R$ 17.370
032398,2023-11-13,Google,Caminho Primitivo,Premium,2,Março,R$ 15.990,Negociando,,,
032399,2024-03-24,Facebook,Caminho Primitivo,Premium,1,Fevereiro,R$ 9.548,Negociando,,,
032400,2025-04-24,TikTok,Via Francigena,Guiado,2,Maio,R$ 18.487,Fechado,2025-05-28,34,R$ 18.338
032401,2020-01-10,Instagram,Via Francigena,Premium,2,Outubro,R$ 20.254,Sem resposta,,,
032402,2023-07-10,WhatsApp,Via Francigena,Premium,1,Março,R$ 11.149,Sem resposta,,,
032403,2020-09-25,YouTube,Caminho Português,Premium,1,Março,R$ 8.864,Sem resposta,,,
032404,2020-11-02,Facebook,Via Francigena,Autoguiado,4,Agosto,R$ 41.552,Negociando,,,
032405,2025-10-12,Indicação,Caminho Francês,Autoguiado,2,Julho,R$ 20.332,Sem resposta,,,
032406,2026-10-11,Google,Caminho Português,Autoguiado,3,Abril,R$ 20.888,Negociando,,,
032407,2023-07-10,Instagram,Caminho Primitivo,Guiado,4,Agosto,R$ 46.612,Negociando,,,
032408,2026-03-01,Indicação,Caminho Francês,Guiado,3,Agosto,R$ 27.187,Negociando,,,
032409,2024-10-25,Instagram,Via Francigena,Autoguiado,3,Março,R$ 24.297,Negociando,,,
032410,2023-06-29,Instagram,Caminho do Norte,Autoguiado,2,Abril,R$ 12.381,Sem resposta,,,
032411,2024-08-15,Facebook,Caminho Primitivo,Premium,4,Janeiro,R$ 38.192,Fechado,2024-09-19,35,R$ 38.586
032412,2026-07-15,TikTok,Caminho Francês,Autoguiado,5,Abril,R$ 41.868,Fechado,2026-07-26,11,R$ 41.969
032413,2025-07-10,WhatsApp,Caminho Português,Autoguiado,1,Julho,R$ 7.648,Sem resposta,,,
032414,2022-05-09,Instagram,Caminho do Norte,Guiado,3,Dezembro,R$ 32.617,Fechado,2022-05-17,8,R$ 35.490
032415,2021-03-11,Instagram,Caminho Português,Guiado,2,Julho,R$ 14.904,Fechado,2021-03-28,17,R$ 15.911
032416,2025-05-31,Facebook,Caminho do Norte,Premium,1,Julho,R$ 7.278,Negociando,,,
032417,2023-01-14,Facebook,Via Francigena,Premium,2,Setembro,R$ 23.035,Sem resposta,,,
032418,2023-03-09,Google,Caminho Francês,Guiado,2,Julho,R$ 16.894,Negociando,,,
032419,2025-12-14,Google,Caminho Primitivo,Premium,2,Dezembro,R$ 15.032,Sem resposta,,,
032420,2024-02-10,Indicação,Caminho Francês,Premium,2,Dezembro,R$ 24.027,Negociando,,,
032421,2021-12-27,WhatsApp,Caminho do Norte,Premium,1,Junho,R$ 10.110,Negociando,,,
032422,2021-08-30,YouTube,Caminho Francês,Guiado,1,Agosto,R$ 9.899,Negociando,,,
032423,2024-07-02,Google,Caminho Português,Autoguiado,2,Janeiro,R$ 15.691,Negociando,,,
032424,2025-08-29,Google,Caminho do Norte,Autoguiado,4,Janeiro,R$ 25.173,Fechado,2025-09-22,24,R$ 26.771
032425,2020-01-20,WhatsApp,Via Francigena,Premium,1,Junho,R$ 9.075,Perdido,,,
032426,2021-04-25,Google,Caminho Primitivo,Premium,2,Outubro,R$ 20.855,Perdido,,,
032427,2020-06-09,Facebook,Caminho Francês,Premium,2,Fevereiro,R$ 24.860,Negociando,,,
032428,2023-10-26,YouTube,Caminho Francês,Premium,2,Março,R$ 24.179,Negociando,,,
032429,2026-01-29,TikTok,Caminho do Norte,Autoguiado,3,Novembro,R$ 20.583,Negociando,,,
032430,2022-10-30,Facebook,Caminho Português,Autoguiado,3,Dezembro,R$ 20.710,Fechado,2022-11-08,9,R$ 21.403
032431,2026-07-17,Google,Caminho do Norte,Premium,4,Outubro,R$ 38.381,Fechado,2026-07-23,6,R$ 39.433
032432,2020-03-16,Indicação,Caminho Primitivo,Premium,1,Abril,R$ 11.785,Perdido,,,
032433,2026-12-25,Facebook,Caminho do Norte,Guiado,4,Outubro,R$ 43.993,Perdido,,,
032434,2025-05-20,WhatsApp,Caminho do Norte,Guiado,2,Outubro,R$ 19.728,Negociando,,,
032435,2020-11-28,YouTube,Caminho Francês,Autoguiado,3,Setembro,R$ 27.954,Sem resposta,,,
032436,2022-11-10,YouTube,Via Francigena,Guiado,3,Outubro,R$ 29.114,Negociando,,,
032437,2020-01-15,WhatsApp,Caminho Português,Premium,2,Abril,R$ 17.605,Perdido,,,
032438,2022-06-21,Instagram,Caminho Português,Autoguiado,2,Fevereiro,R$ 13.798,Perdido,,,
032439,2024-01-23,Indicação,Caminho Francês,Autoguiado,3,Setembro,R$ 23.144,Negociando,,,
032440,2022-05-16,WhatsApp,Caminho Português,Autoguiado,2,Agosto,R$ 16.365,Fechado,2022-06-04,19,R$ 15.723
032441,2024-06-30,TikTok,Caminho Francês,Guiado,1,Abril,R$ 11.181,Perdido,,,
032442,2022-02-24,Indicação,Caminho Português,Premium,2,Outubro,R$ 19.421,Fechado,2022-03-01,5,R$ 21.628
032443,2020-04-24,Google,Caminho Primitivo,Autoguiado,1,Julho,R$ 7.510,Fechado,2020-05-07,13,R$ 6.915
032444,2024-10-13,TikTok,Caminho Português,Premium,3,Maio,R$ 25.080,Fechado,2024-10-16,3,R$ 24.848
032445,2021-07-02,TikTok,Via Francigena,Guiado,1,Janeiro,R$ 9.844,Sem resposta,,,
032446,2023-10-05,Facebook,Caminho Português,Autoguiado,1,Abril,R$ 8.179,Perdido,,,
032447,2021-03-28,Indicação,Caminho do Norte,Autoguiado,1,Setembro,R$ 7.594,Perdido,,,
032448,2020-01-27,WhatsApp,Caminho Primitivo,Premium,1,Março,R$ 10.566,Fechado,2020-02-26,30,R$ 10.551
032449,2022-12-22,WhatsApp,Caminho Primitivo,Autoguiado,3,Abril,R$ 22.531,Negociando,,,
032450,2024-03-25,WhatsApp,Caminho do Norte,Guiado,2,Janeiro,R$ 20.472,Fechado,2024-04-17,23,R$ 21.614
032451,2021-08-18,Indicação,Caminho do Norte,Guiado,3,Agosto,R$ 33.617,Sem resposta,,,
032452,2026-08-26,Facebook,Caminho do Norte,Autoguiado,3,Setembro,R$ 19.548,Negociando,,,
032453,2024-04-17,TikTok,Caminho Português,Guiado,3,Dezembro,R$ 20.810,Perdido,,,
032454,2022-07-05,TikTok,Caminho Primitivo,Autoguiado,2,Março,R$ 15.904,Negociando,,,
032455,2021-02-15,Google,Caminho Português,Guiado,1,Janeiro,R$ 8.333,Negociando,,,
032456,2026-05-02,YouTube,Caminho Português,Autoguiado,3,Março,R$ 20.712,Fechado,2026-05-13,11,R$ 21.287
032457,2021-12-24,YouTube,Caminho do Norte,Autoguiado,2,Janeiro,R$ 19.167,Negociando,,,
032458,2020-01-16,WhatsApp,Caminho Português,Autoguiado,4,Agosto,R$ 30.150,Sem resposta,,,
032459,2023-08-07,WhatsApp,Via Francigena,Premium,3,Maio,R$ 35.667,Perdido,,,
032460,2024-06-30,Indicação,Caminho Francês,Premium,2,Janeiro,R$ 16.512,Perdido,,,
032461,2025-10-19,YouTube,Caminho Primitivo,Autoguiado,3,Julho,R$ 22.938,Negociando,,,
032462,2020-05-08,YouTube,Caminho do Norte,Autoguiado,3,Janeiro,R$ 27.087,Negociando,,,
032463,2026-09-05,Facebook,Caminho Primitivo,Guiado,5,Abril,R$ 58.405,Perdido,,,
032464,2020-07-03,WhatsApp,Via Francigena,Premium,2,Janeiro,R$ 21.789,Perdido,,,
032465,2023-04-30,Facebook,Caminho Português,Guiado,3,Abril,R$ 27.049,Negociando,,,
032466,2022-12-07,Facebook,Caminho Francês,Premium,3,Fevereiro,R$ 38.118,Fechado,2023-01-10,34,R$ 38.340
032467,2022-12-07,WhatsApp,Caminho Português,Autoguiado,2,Novembro,R$ 14.144,Negociando,,,
032468,2022-04-12,TikTok,Caminho Português,Autoguiado,4,Abril,R$ 29.372,Sem resposta,,,
032469,2021-10-23,Indicação,Via Francigena,Premium,1,Março,R$ 9.421,Negociando,,,
032470,2025-04-13,Indicação,Caminho Primitivo,Guiado,3,Dezembro,R$ 35.001,Fechado,2025-04-21,8,R$ 37.488
032471,2021-08-03,WhatsApp,Caminho do Norte,Autoguiado,1,Junho,R$ 6.878,Fechado,2021-09-05,33,R$ 7.686
032472,2026-12-28,Instagram,Caminho Português,Premium,4,Novembro,R$ 26.406,Negociando,,,
032473,2026-08-18,YouTube,Caminho Francês,Guiado,1,Dezembro,R$ 11.278,Negociando,,,
032474,2020-06-19,Google,Via Francigena,Guiado,3,Outubro,R$ 24.054,Negociando,,,
032475,2022-09-30,WhatsApp,Caminho Português,Autoguiado,2,Janeiro,R$ 12.270,Sem resposta,,,
032476,2025-07-21,Indicação,Caminho Primitivo,Autoguiado,2,Junho,R$ 17.966,Negociando,,,
032477,2025-04-30,Google,Caminho Francês,Guiado,2,Fevereiro,R$ 20.743,Negociando,,,
032478,2026-07-13,Indicação,Caminho Português,Guiado,4,Dezembro,R$ 37.139,Negociando,,,
032479,2024-09-27,Instagram,Caminho Francês,Premium,5,Março,R$ 64.410,Negociando,,,
032480,2022-12-14,Indicação,Caminho do Norte,Autoguiado,4,Junho,R$ 31.833,Fechado,2023-01-02,19,R$ 33.635
032481,2026-01-16,WhatsApp,Caminho Francês,Premium,2,Junho,R$ 18.153,Fechado,2026-01-26,10,R$ 19.450
032482,2021-01-09,Google,Caminho Português,Premium,1,Fevereiro,R$ 7.061,Sem resposta,,,
032483,2021-11-09,Google,Caminho Português,Premium,2,Julho,R$ 18.233,Fechado,2021-12-01,22,R$ 17.287
032484,2024-10-11,WhatsApp,Caminho Francês,Guiado,2,Agosto,R$ 24.478,Perdido,,,
032485,2025-03-02,Facebook,Caminho Francês,Premium,3,Janeiro,R$ 25.855,Negociando,,,
032486,2020-05-30,Indicação,Caminho do Norte,Autoguiado,3,Outubro,R$ 22.771,Negociando,,,
032487,2022-11-15,Google,Via Francigena,Guiado,1,Janeiro,R$ 9.312,Sem resposta,,,
032488,2024-12-18,TikTok,Caminho do Norte,Autoguiado,2,Fevereiro,R$ 17.872,Perdido,,,
032489,2026-07-04,Google,Caminho Português,Autoguiado,2,Abril,R$ 15.393,Sem resposta,,,
032490,2020-09-09,TikTok,Caminho do Norte,Autoguiado,2,Junho,R$ 12.933,Perdido,,,
032491,2021-09-30,Facebook,Caminho Primitivo,Premium,1,Junho,R$ 11.811,Sem resposta,,,
032492,2024-02-11,WhatsApp,Via Francigena,Guiado,2,Agosto,R$ 24.556,Negociando,,,
032493,2020-01-08,Facebook,Caminho Francês,Autoguiado,4,Abril,R$ 36.087,Sem resposta,,,
032494,2021-08-28,YouTube,Via Francigena,Guiado,2,Setembro,R$ 22.293,Sem resposta,,,
032495,2024-07-05,Google,Via Francigena,Autoguiado,4,Março,R$ 28.258,Fechado,2024-08-05,31,R$ 30.165
032496,2022-02-22,TikTok,Via Francigena,Autoguiado,4,Dezembro,R$ 41.040,Perdido,,,
032497,2022-01-27,Google,Caminho Primitivo,Premium,2,Maio,R$ 21.343,Negociando,,,
032498,2023-12-20,Google,Via Francigena,Guiado,5,Outubro,R$ 45.215,Sem resposta,,,
032499,2026-06-21,Instagram,Via Francigena,Guiado,1,Maio,R$ 9.675,Negociando,,,
032500,2021-10-31,TikTok,Caminho Português,Autoguiado,2,Dezembro,R$ 11.785,Negociando,,,
032501,2026-07-31,Instagram,Caminho Francês,Guiado,1,Novembro,R$ 9.851,Fechado,2026-09-04,35,R$ 9.530
032502,2023-03-27,YouTube,Caminho Português,Autoguiado,5,Janeiro,R$ 26.081,Fechado,2023-04-02,6,R$ 28.527
032503,2020-04-10,YouTube,Via Francigena,Autoguiado,1,Março,R$ 10.043,Negociando,,,
032504,2023-08-02,WhatsApp,Caminho do Norte,Guiado,1,Junho,R$ 10.399,Sem resposta,,,
032505,2023-03-28,WhatsApp,Caminho Francês,Guiado,2,Setembro,R$ 21.136,Perdido,,,
032506,2025-10-16,Indicação,Caminho Primitivo,Autoguiado,1,Julho,R$ 7.893,Sem resposta,,,
032507,2021-03-03,Facebook,Via Francigena,Premium,4,Março,R$ 31.370,Perdido,,,
032508,2020-08-25,TikTok,Caminho Francês,Premium,5,Fevereiro,R$ 44.712,Negociando,,,
032509,2021-04-01,WhatsApp,Caminho Francês,Guiado,3,Abril,R$ 35.046,Fechado,2021-04-25,24,R$ 33.488
032510,2024-04-30,WhatsApp,Caminho do Norte,Autoguiado,2,Novembro,R$ 18.270,Perdido,,,
032511,2020-02-24,WhatsApp,Caminho Francês,Guiado,2,Junho,R$ 19.493,Perdido,,,
032512,2024-02-26,WhatsApp,Caminho Primitivo,Premium,2,Fevereiro,R$ 17.634,Negociando,,,
032513,2024-06-19,YouTube,Caminho do Norte,Premium,4,Fevereiro,R$ 32.060,Sem resposta,,,
032514,2023-06-18,Facebook,Caminho Francês,Premium,2,Setembro,R$ 19.657,Sem resposta,,,
032515,2026-04-19,Google,Via Francigena,Guiado,1,Dezembro,R$ 7.786,Fechado,2026-05-16,27,R$ 8.446
032516,2021-08-22,Facebook,Caminho Primitivo,Guiado,1,Abril,R$ 10.543,Sem resposta,,,
032517,2021-09-10,Google,Via Francigena,Premium,4,Fevereiro,R$ 45.710,Fechado,2021-09-19,9,R$ 46.034
032518,2021-05-30,Google,Caminho Francês,Autoguiado,2,Janeiro,R$ 16.161,Negociando,,,
032519,2020-02-14,YouTube,Caminho Primitivo,Guiado,1,Fevereiro,R$ 10.713,Fechado,2020-03-14,29,R$ 11.444
032520,2021-02-11,Indicação,Caminho Português,Guiado,2,Novembro,R$ 13.794,Negociando,,,
032521,2022-01-20,Indicação,Caminho do Norte,Autoguiado,3,Outubro,R$ 27.567,Negociando,,,
032522,2025-01-20,Google,Caminho Português,Guiado,1,Maio,R$ 6.401,Negociando,,,
032523,2026-04-25,Google,Caminho Português,Guiado,1,Março,R$ 7.158,Perdido,,,
032524,2024-12-15,Facebook,Caminho Português,Guiado,3,Dezembro,R$ 28.727,Fechado,2025-01-14,30,R$ 27.812
032525,2023-08-22,Indicação,Caminho Português,Premium,2,Janeiro,R$ 12.545,Sem resposta,,,
032526,2020-09-16,Instagram,Via Francigena,Guiado,2,Fevereiro,R$ 23.505,Negociando,,,
032527,2023-03-23,WhatsApp,Caminho Português,Premium,2,Janeiro,R$ 18.547,Fechado,2023-04-13,21,R$ 17.767
032528,2023-11-05,WhatsApp,Caminho Francês,Autoguiado,4,Abril,R$ 34.604,Sem resposta,,,
032529,2021-06-22,Indicação,Caminho do Norte,Guiado,1,Março,R$ 8.402,Sem resposta,,,
032530,2026-04-14,TikTok,Caminho Francês,Autoguiado,2,Fevereiro,R$ 17.290,Negociando,,,
032531,2025-10-23,YouTube,Caminho Primitivo,Premium,1,Março,R$ 9.731,Negociando,,,
032532,2024-11-09,Facebook,Caminho do Norte,Premium,2,Dezembro,R$ 14.958,Fechado,2024-11-14,5,R$ 14.283
032533,2024-01-02,YouTube,Caminho Francês,Premium,2,Novembro,R$ 19.985,Fechado,2024-01-08,6,R$ 21.414
032534,2024-11-02,WhatsApp,Caminho Primitivo,Guiado,2,Março,R$ 15.388,Sem resposta,,,
032535,2020-05-26,Google,Via Francigena,Autoguiado,1,Março,R$ 10.142,Fechado,2020-05-28,2,R$ 9.446
032536,2022-12-16,Google,Via Francigena,Premium,4,Maio,R$ 33.478,Negociando,,,
032537,2020-08-04,Facebook,Caminho Primitivo,Premium,1,Novembro,R$ 7.530,Negociando,,,
032538,2021-01-31,Google,Caminho Português,Guiado,3,Fevereiro,R$ 20.502,Negociando,,,
032539,2022-08-07,YouTube,Caminho Primitivo,Autoguiado,1,Agosto,R$ 6.684,Negociando,,,
032540,2020-02-23,YouTube,Caminho do Norte,Guiado,2,Junho,R$ 20.600,Fechado,2020-02-27,4,R$ 19.663
032541,2025-04-23,YouTube,Caminho Primitivo,Guiado,4,Novembro,R$ 37.234,Negociando,,,
032542,2025-10-20,Indicação,Caminho Português,Guiado,1,Outubro,R$ 8.857,Fechado,2025-10-27,7,R$ 9.355
032543,2026-09-05,TikTok,Caminho Português,Premium,5,Março,R$ 39.813,Negociando,,,
032544,2025-11-25,Facebook,Caminho Primitivo,Premium,2,Agosto,R$ 18.932,Sem resposta,,,
032545,2020-04-05,Google,Caminho Português,Guiado,2,Julho,R$ 13.292,Sem resposta,,,
032546,2022-12-07,YouTube,Caminho Francês,Premium,2,Novembro,R$ 25.391,Fechado,2022-12-10,3,R$ 23.736
032547,2026-10-01,WhatsApp,Caminho Primitivo,Premium,4,Novembro,R$ 34.087,Negociando,,,
032548,2021-02-21,Facebook,Caminho Português,Guiado,4,Outubro,R$ 25.824,Negociando,,,
032549,2026-06-10,WhatsApp,Caminho do Norte,Guiado,4,Janeiro,R$ 34.618,Sem resposta,,,
032550,2020-09-11,TikTok,Caminho Francês,Premium,1,Abril,R$ 9.086,Negociando,,,
032551,2025-07-21,Facebook,Caminho Primitivo,Autoguiado,2,Janeiro,R$ 17.455,Negociando,,,
032552,2025-09-20,WhatsApp,Caminho Francês,Premium,4,Dezembro,R$ 41.354,Fechado,2025-10-15,25,R$ 43.630
032553,2023-04-15,WhatsApp,Caminho Português,Autoguiado,3,Dezembro,R$ 22.661,Fechado,2023-05-19,34,R$ 22.973
032554,2022-04-27,Indicação,Caminho Francês,Premium,3,Julho,R$ 29.201,Sem resposta,,,
032555,2024-07-07,Google,Caminho Português,Guiado,2,Agosto,R$ 15.198,Negociando,,,
032556,2026-08-27,Indicação,Caminho do Norte,Autoguiado,4,Janeiro,R$ 27.981,Negociando,,,
032557,2023-02-08,TikTok,Caminho Português,Guiado,3,Julho,R$ 20.931,Fechado,2023-03-05,25,R$ 23.331
032558,2024-10-29,Facebook,Caminho Português,Guiado,3,Março,R$ 20.120,Sem resposta,,,
032559,2020-10-27,Google,Caminho Português,Autoguiado,2,Outubro,R$ 11.860,Sem resposta,,,
032560,2024-06-09,Facebook,Caminho Primitivo,Autoguiado,2,Outubro,R$ 18.864,Sem resposta,,,
032561,2024-09-03,Instagram,Caminho Primitivo,Guiado,1,Dezembro,R$ 10.698,Perdido,,,
032562,2023-03-19,Indicação,Caminho Francês,Autoguiado,5,Fevereiro,R$ 51.199,Negociando,,,
032563,2021-06-02,Facebook,Caminho do Norte,Guiado,2,Dezembro,R$ 17.886,Perdido,,,
032564,2024-12-24,WhatsApp,Via Francigena,Autoguiado,3,Março,R$ 20.790,Negociando,,,
032565,2026-08-12,Facebook,Caminho Primitivo,Guiado,2,Julho,R$ 17.189,Negociando,,,
032566,2020-10-25,TikTok,Caminho Primitivo,Autoguiado,2,Dezembro,R$ 15.959,Fechado,2020-11-12,18,R$ 15.608
032567,2024-01-12,Facebook,Caminho do Norte,Autoguiado,2,Fevereiro,R$ 16.459,Perdido,,,
032568,2022-05-25,Instagram,Caminho do Norte,Premium,2,Julho,R$ 21.142,Perdido,,,
032569,2023-04-06,WhatsApp,Caminho Primitivo,Autoguiado,1,Dezembro,R$ 9.126,Perdido,,,
032570,2020-06-24,Indicação,Caminho Francês,Premium,3,Setembro,R$ 24.901,Negociando,,,
032571,2024-08-01,Google,Via Francigena,Autoguiado,1,Julho,R$ 6.985,Fechado,2024-08-07,6,R$ 6.978
032572,2022-02-14,Facebook,Caminho Primitivo,Premium,1,Novembro,R$ 8.325,Negociando,,,
032573,2025-11-10,Instagram,Caminho Primitivo,Autoguiado,2,Maio,R$ 18.482,Negociando,,,
032574,2021-04-20,TikTok,Caminho Português,Guiado,1,Setembro,R$ 6.852,Sem resposta,,,
032575,2020-09-27,Indicação,Caminho Francês,Premium,2,Setembro,R$ 18.926,Perdido,,,
032576,2026-08-08,Google,Via Francigena,Premium,1,Outubro,R$ 8.258,Fechado,2026-09-04,27,R$ 8.890
032577,2025-02-07,TikTok,Caminho Primitivo,Guiado,1,Janeiro,R$ 9.442,Fechado,2025-03-01,22,R$ 9.108
032578,2021-10-06,YouTube,Via Francigena,Premium,2,Julho,R$ 20.837,Negociando,,,
032579,2020-07-21,Indicação,Caminho Português,Autoguiado,4,Janeiro,R$ 29.611,Sem resposta,,,
032580,2022-05-05,Google,Caminho Francês,Premium,2,Março,R$ 18.817,Fechado,2022-05-21,16,R$ 17.984
032581,2021-03-15,TikTok,Caminho Português,Premium,1,Dezembro,R$ 7.985,Fechado,2021-04-11,27,R$ 8.683
032582,2026-12-17,YouTube,Caminho Primitivo,Autoguiado,1,Novembro,R$ 8.359,Sem resposta,,,
032583,2021-05-24,Google,Caminho Francês,Autoguiado,2,Março,R$ 14.616,Perdido,,,
032584,2023-05-05,WhatsApp,Caminho do Norte,Autoguiado,4,Março,R$ 25.371,Negociando,,,
032585,2022-04-11,Google,Caminho do Norte,Autoguiado,2,Maio,R$ 17.546,Fechado,2022-05-04,23,R$ 17.518
032586,2022-04-10,Google,Via Francigena,Autoguiado,1,Maio,R$ 9.392,Fechado,2022-04-24,14,R$ 9.761
032587,2020-05-09,Instagram,Caminho Francês,Premium,1,Janeiro,R$ 10.097,Perdido,,,
032588,2023-05-17,Google,Via Francigena,Autoguiado,2,Julho,R$ 19.641,Negociando,,,
032589,2023-11-12,Indicação,Caminho Francês,Autoguiado,1,Outubro,R$ 7.934,Fechado,2023-12-07,25,R$ 8.677
032590,2020-06-30,WhatsApp,Via Francigena,Premium,5,Agosto,R$ 50.596,Fechado,2020-07-20,20,R$ 51.722
032591,2023-05-31,TikTok,Caminho Francês,Autoguiado,2,Setembro,R$ 16.846,Fechado,2023-07-03,33,R$ 15.801
032592,2021-04-20,WhatsApp,Caminho Francês,Premium,2,Março,R$ 17.401,Fechado,2021-04-30,10,R$ 18.084
032593,2023-11-14,YouTube,Caminho Primitivo,Guiado,3,Abril,R$ 31.343,Fechado,2023-11-19,5,R$ 31.163
032594,2020-09-17,Indicação,Caminho Primitivo,Autoguiado,1,Outubro,R$ 8.375,Fechado,2020-09-21,4,R$ 8.224
032595,2025-03-23,Facebook,Caminho do Norte,Autoguiado,2,Setembro,R$ 14.066,Negociando,,,
032596,2024-08-21,Indicação,Via Francigena,Autoguiado,3,Maio,R$ 24.657,Negociando,,,
032597,2023-06-21,Indicação,Caminho Primitivo,Premium,2,Fevereiro,R$ 16.351,Fechado,2023-06-27,6,R$ 17.201
032598,2022-03-04,YouTube,Caminho Francês,Autoguiado,1,Agosto,R$ 9.008,Negociando,,,
032599,2023-08-15,Facebook,Caminho do Norte,Autoguiado,1,Maio,R$ 6.838,Negociando,,,
032600,2020-06-17,TikTok,Caminho Francês,Premium,4,Fevereiro,R$ 49.899,Negociando,,,
032601,2026-03-05,Indicação,Caminho Francês,Premium,3,Outubro,R$ 25.951,Fechado,2026-03-19,14,R$ 28.411
032602,2025-08-31,Facebook,Caminho Primitivo,Premium,5,Setembro,R$ 46.405,Sem resposta,,,
032603,2020-04-08,Instagram,Caminho Primitivo,Premium,2,Abril,R$ 20.953,Negociando,,,
032604,2020-09-03,Google,Caminho Primitivo,Premium,2,Setembro,R$ 18.932,Perdido,,,
032605,2026-01-13,Instagram,Caminho Português,Premium,2,Julho,R$ 18.461,Negociando,,,
032606,2020-09-29,YouTube,Caminho Francês,Autoguiado,5,Abril,R$ 48.250,Negociando,,,
032607,2023-03-12,WhatsApp,Caminho Francês,Guiado,1,Novembro,R$ 12.058,Negociando,,,
032608,2020-06-04,Indicação,Caminho do Norte,Autoguiado,3,Novembro,R$ 21.201,Negociando,,,
032609,2025-06-21,Facebook,Caminho Português,Premium,1,Outubro,R$ 7.113,Perdido,,,
032610,2022-10-17,Instagram,Caminho do Norte,Guiado,2,Maio,R$ 20.736,Negociando,,,
032611,2023-04-12,TikTok,Caminho do Norte,Autoguiado,2,Março,R$ 14.748,Negociando,,,
032612,2023-03-22,Indicação,Via Francigena,Autoguiado,4,Março,R$ 41.407,Negociando,,,
032613,2023-09-17,Facebook,Caminho Português,Guiado,1,Setembro,R$ 8.128,Fechado,2023-10-04,17,R$ 8.092
032614,2024-10-09,Facebook,Caminho Primitivo,Premium,1,Dezembro,R$ 8.933,Fechado,2024-10-28,19,R$ 9.608
032615,2022-02-14,Indicação,Caminho Francês,Autoguiado,2,Março,R$ 16.067,Negociando,,,
032616,2024-06-13,TikTok,Caminho Primitivo,Guiado,1,Novembro,R$ 11.174,Fechado,2024-07-05,22,R$ 11.617
032617,2025-02-07,Facebook,Caminho Português,Autoguiado,2,Dezembro,R$ 12.084,Perdido,,,
032618,2021-10-17,Instagram,Caminho Português,Premium,2,Janeiro,R$ 18.305,Perdido,,,
032619,2021-08-30,Facebook,Caminho do Norte,Autoguiado,5,Março,R$ 32.586,Fechado,2021-09-28,29,R$ 30.407
032620,2021-10-13,YouTube,Caminho Português,Guiado,1,Outubro,R$ 9.452,Negociando,,,
032621,2023-05-30,TikTok,Caminho Primitivo,Autoguiado,2,Maio,R$ 18.350,Sem resposta,,,
032622,2024-03-11,WhatsApp,Caminho Primitivo,Guiado,1,Maio,R$ 11.360,Fechado,2024-04-13,33,R$ 11.767
032623,2021-08-23,Google,Caminho Português,Premium,2,Março,R$ 16.935,Sem resposta,,,
032624,2022-09-03,Indicação,Caminho Primitivo,Autoguiado,1,Dezembro,R$ 10.049,Negociando,,,
032625,2021-01-25,Google,Caminho Francês,Premium,3,Abril,R$ 34.914,Perdido,,,
032626,2020-12-01,Facebook,Caminho Primitivo,Premium,2,Abril,R$ 22.969,Perdido,,,
032627,2026-12-10,Instagram,Caminho Francês,Guiado,1,Julho,R$ 10.655,Perdido,,,
032628,2026-10-22,WhatsApp,Caminho Português,Guiado,2,Maio,R$ 19.134,Perdido,,,
